quote,year,movie
"Do, or do not. There is no try.",1890,Star Wars: Episode V - The Empire Strikes Back
Listen to them. Children of the night. What music they make.,1931,Dracula
It's alive! It's alive!,1931,Frankenstein
"Oh, no, it wasn't the airplanes. It was Beauty killed the Beast.",1933,King Kong
"Magic Mirror on the wall, who is the fairest one of all?",1937,Snow White and the Seven Dwarves
"Elementary, my dear Watson.",1939,The Adventures of Sherlock Holmes
"I'll get you, my pretty, and your little dog, too!",1939,The Wizard of Oz
"After all, tomorrow is another day!",1939,Gone With the Wind
"Frankly, my dear, I don't give a damn.",1939,Gone with the Wind
"Toto, I've got a feeling we're not in Kansas anymore.",1939,The Wizard of Oz
There's no place like home.,1939,The Wizard of Oz
"As God is my witness, I'll never be hungry again.",1939,Gone with the Wind
"It's gone forever, that funny young, lost look I loved won't ever come back. I killed that when I told you about Rebecca. It's gone. In a few hours, you've grown so much older.",1940,Rebecca
"Here's looking at you, kid.",1942,Casablanca
"Play it, Sam. Play 'As Time Goes By.",1942,Casablanca
We'll always have Paris.,1942,Casablanca
Round up the usual suspects.,1942,Casablanca
This is the beginning of a beautiful friendship.,1942,Casablanca
"When it comes to women, you’re a true democrat.",1942,Casablanca
I am big! It's the pictures that got small.,1950,Sunset Blvd.
Nobody ever lies about being lonely.,1953,Here to Eternity
"You don't understand! I coulda had class. I coulda been a contender. I could've been somebody, instead of a bum, which is what I am.",1954,On The Waterfront
"Where we're going, we don't need roads",1958,Back to the future
"Life is a banquet, and most poor suckers are starving to death!",1958,Auntie Mame
Well nobody is perfect,1959,Some Like It Hot
"My name is Bond, James Bond.",1962,Dr. No
Bond. James Bond,1962,Dr. No
I don't understand. He meets a girl that can give him a new life and he pushes her away? Because he doesn't know how to love.,1963,8 1⁄2 
"You expect me to talk? No, Mr Bond, I expect you to die!",1964,Goldfinger
"A martini. Shaken, not stirred.",1964,Goldfinger 
"Gentlemen, you can't fight in here! This is the War Room!",1964,Dr. Strangelove
What we've got here is a failure to communicate.,1967,Cool Hand Luke
They call me Mister Tibbs!,1967,In the Heat of the Night
"Mrs. Robinson, you're trying to seduce me. Aren't you?",1967,The Graduate
You only live twice:Once when you are born And once when you look death in the face,1967,You only live twice
We rob banks.,1967,Bonnie and Clyde
"Take your stinking paws off me, you damned dirty ape!",1968,Planet of the Apes
"Hello, gorgeous.",1968,Funny Girl
Love means never having to say you're sorry,1970,Love Story
Public opinion has a way of changing.,1971,A Clockwork Orange
"Drop the gun, take the cannoli.",1972,The Godfather
A man who doesn't spend time with his family can never be a real man.,1972,The Godfather
I'm going to make him an offer he can't refuse.,1972,The Godfather
"Great men are not born great, they grow great.",1972,The Godfather
I'm gonna make him an offer he can't refuse,1972,The Godfather
"Father Dyer: My idea of Heaven is a solid white nightclub with me as a headliner for all eternity, and they LOVE me!!",1973,The Exorcist
"Men, you are about to embark on a great crusade to stamp out runaway decency in the west. Now you men will only be risking your lives, whilst I will be risking an almost certain Academy Award nomination for Best Supporting Actor.",1974,Blazing Saddles
"What did you expect? 'Welcome, sonny'? 'Make yourself at home'? 'Marry my daughter'? You've got to remember that these are just simple farmers. These are people of the land. The common clay of the new West. You know... morons.",1974,Blazing Saddles
"Wait Master, it might be dangerous... you go first.",1974,Young Frankenstein
What's a dazzling urbanite like you doing in a rustic setting like this?,1974,Blazing Saddles
"Please! Remain in your seats, I beg you! We are not children here, we are scientists! I assure you there is nothing to fear!",1974,Young Frankenstein
"Keep your friends close, but your enemies closer.",1974,The Godfather II
"Now I don't have to tell you good folks what's been happening in our beloved little town. Sheriff murdered, crops burned, stores looted, people stampeded, and cattle raped. The time has come to act, and act fast. I'm leaving.",1974,Blazing Saddles
