Helena Douglas,http://vignette3.wikia.nocookie.net/deadoralive/images/8/81/DOA5_Helena_Render.png/revision/latest/scale-to-width/220?cb=20130616181821,Dead or Alive
Princess Zelda,//upload.wikimedia.org/wikipedia/en/4/4b/Zelda_png.png,The Legend of Zelda
Grace Nakimura,//upload.wikimedia.org/wikipedia/en/d/d0/Grace_Nakimura_GK1.jpg,Gabriel Knight
Commander Shepard,//upload.wikimedia.org/wikipedia/en/d/df/Commander_Shepard.png,Mass Effect
Rayne (BloodRayne),//upload.wikimedia.org/wikipedia/en/thumb/6/6a/Rayne-japan.png/220px-Rayne-japan.png,BloodRayne
The Boss (Metal Gear),//upload.wikimedia.org/wikipedia/en/thumb/8/8a/The_Boss_%28Metal_Gear%29.png/210px-The_Boss_%28Metal_Gear%29.png,Metal Gear
Cate Archer,//upload.wikimedia.org/wikipedia/en/thumb/8/8e/Cate_Archer.png/200px-Cate_Archer.png,No One Lives Forever
Faith Connors,//upload.wikimedia.org/wikipedia/en/thumb/a/aa/Faith_Connors.png/110px-Faith_Connors.png,Mirror's Edge
Bayonetta (personaje),//upload.wikimedia.org/wikipedia/en/thumb/b/b8/Bayonetta-character.png/250px-Bayonetta-character.png,Bayonetta
Heather Mason,//upload.wikimedia.org/wikipedia/en/thumb/c/c0/Heather_Mason.png/210px-Heather_Mason.png,Silent Hill
Rinoa Heartilly,//upload.wikimedia.org/wikipedia/en/thumb/e/e4/Rinoa_Heartilly.png/220px-Rinoa_Heartilly.png,Final Fantasy
Hana Tsu-Vachel,//upload.wikimedia.org/wikipedia/en/thumb/e/e9/Hana_Tsu-Vachel.jpg/210px-Hana_Tsu-Vachel.jpg,Fear Effect
Miranda Lawson,//upload.wikimedia.org/wikipedia/en/thumb/f/f4/MirandaLawson.png/150px-MirandaLawson.png,Mass Effect
Alma Wade,//upload.wikimedia.org/wikipedia/en/thumb/f/ff/Alma_Wade_Project_Origin.jpg/250px-Alma_Wade_Project_Origin.jpg,F.E.A.R.
Jynx,//upload.wikimedia.org/wikipedia/en/thumb/a/af/Pok%C3%A9mon_Jynx_%28purple%29_art.png/220px-Pok%C3%A9mon_Jynx_%28purple%29_art.png,Pokémon
Misty (Pokémon),//upload.wikimedia.org/wikipedia/en/thumb/b/b1/MistyEP.png/129px-MistyEP.png,Pokémon
Latias and Latios,//upload.wikimedia.org/wikipedia/en/thumb/b/ba/Latias_and_Latios.png/200px-Latias_and_Latios.png,Pokémon
Elena Fisher,//upload.wikimedia.org/wikipedia/en/6/6c/Elena_Fisher.png,Uncharted
Midna,//upload.wikimedia.org/wikipedia/en/thumb/a/ae/Midna.png/225px-Midna.png,The Legend of Zelda
Princess Daisy (character),//upload.wikimedia.org/wikipedia/en/thumb/3/3b/DaisyMarioParty8.png/180px-DaisyMarioParty8.png,Mario
Rosalina,//upload.wikimedia.org/wikipedia/en/thumb/9/9b/Rosalina_from_Super_Mario_Galaxy.png/235px-Rosalina_from_Super_Mario_Galaxy.png,Mario
Birdo (character),//upload.wikimedia.org/wikipedia/en/thumb/f/f9/Birdo-MP9.png/200px-Birdo-MP9.png,Mario
Mother Brain (Metroid),//upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Nintendo.svg/32px-Nintendo.svg.png,Metroid
Epona (The Legend of Zelda),//upload.wikimedia.org/wikipedia/commons/thumb/8/86/Triforce.svg/32px-Triforce.svg.png,The Legend of Zelda
Cortana,//upload.wikimedia.org/wikipedia/en/9/9a/Cortana_H4.png,Halo
Elizabeth (BioShock),//upload.wikimedia.org/wikipedia/en/a/a1/Elizabeth_%28BioShock%29.png,BioShock
Rouge the Bat,//upload.wikimedia.org/wikipedia/en/9/9f/Rouge2006.png,Sonic the Hedgehog
Amy Rose,//upload.wikimedia.org/wikipedia/en/thumb/a/ab/Amy_Rose_with_hammer.png/200px-Amy_Rose_with_hammer.png,Sonic the Hedgehog
Yuri Sakazaki,//upload.wikimedia.org/wikipedia/en/9/93/Yuri_Sakazaki.png,"Art of Fighting, The King of Fighters"
Mai Shiranui,//upload.wikimedia.org/wikipedia/en/9/9a/Mai_Shiranui.png,"Fatal Fury, The King of Fighters"
Aerith Gainsborough,//upload.wikimedia.org/wikipedia/en/2/2f/Aerith_Gainsborough.png,Final Fantasy
Tifa Lockhart,//upload.wikimedia.org/wikipedia/en/6/61/Tifa_Lockhart_art.png,Final Fantasy
Yuna (Final Fantasy),//upload.wikimedia.org/wikipedia/en/7/71/Yuna.png,Final Fantasy
Lulu (Final Fantasy),//upload.wikimedia.org/wikipedia/en/thumb/1/1f/Lulu.png/225px-Lulu.png,Final Fantasy
